openness,conscientiousness,agreeableness,extraversion,neuroticism,descriptive,normative,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca_average,c/a,ao1,ao2,ao3,ao4,ao5,ao6,ao7,ao8,ao_average,a/o,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc_average,o/c,en1,en2,en3,en4,en5,en6,en7,en8,en_average,e/n,dn1,dn2,dn3,dn4,dn5,dn6,dn7,dn8,dn_average,d/n,age,extentfeminine,extentconservative,extenthumanities,extentcapitalism,gender,svo
859,983,558,568,232,581,219,50,0,0,13,0,26,8,35,17,1.762,0,26,74,74,26,74,0,100,47,0.65,39,27,36,74,0,87,13,39,39,0.874,0,46,26,26,0,9,100,25,29,2.448,0,0,50,100,26,0,17,26,27,2.65,17,17,59,1,98,1,37.482
739,878,783,450,350,256,544,50,6,100,50,76,0,36,100,52,1.121,25,37,88,94,6,50,40,95,54,1.06,78,85,76,50,0,89,68,50,62,0.842,50,50,50,22,66,74,14,24,44,1.286,72,95,50,96,50,81,50,50,68,0.47,17,85,50,100,75,0,15.164
844,727,829,373,427,371,429,46,40,81,57,63,42,15,50,49,0.877,59,50,31,50,7,91,50,27,46,0.982,74,100,12,13,39,21,34,28,40,1.161,90,74,36,27,82,32,69,17,53,0.874,74,69,64,74,25,31,4,88,54,0.86,16,0,17,8,65,1,37.482
747,906,747,434,366,513,287,58,25,0,21,82,32,42,26,36,1.213,74,27,46,9,50,62,34,37,42,1,0,83,26,26,68,80,70,39,49,0.825,15,74,8,100,87,26,3,53,46,1.186,67,86,50,10,40,13,0,21,36,1.79,18,0,38,0,74,1,37.482
964,647,789,434,366,240,560,37,38,98,50,73,39,35,28,50,0.82,26,42,59,28,39,39,26,50,39,0.818,70,28,16,18,21,30,28,50,33,1.49,71,93,0,41,61,36,60,4,46,1.186,98,50,50,83,64,70,73,72,70,0.43,17,84,10,91,50,0,7.815
973,583,844,530,270,580,220,30,65,80,66,73,35,97,73,65,0.691,12,86,96,71,26,96,20,68,59,0.867,0,70,4,10,2,87,100,29,38,1.669,16,67,11,0,9,70,97,0,34,1.963,4,0,57,42,0,14,3,100,28,2.64,17,64,28,77,81,0,17.969
894,679,827,403,397,326,474,69,0,39,74,90,75,19,50,52,0.821,50,77,74,25,17,81,43,22,49,0.925,47,100,8,32,0,21,44,43,37,1.317,15,100,15,26,77,23,67,74,50,1.015,50,91,50,86,83,66,0,48,59,0.69,18,17,26,14,25,1,43.758
914,700,786,310,490,463,337,43,10,40,97,93,48,20,92,55,0.891,66,60,94,6,52,44,40,95,57,0.86,69,48,16,60,21,29,52,48,43,1.306,94,87,76,46,57,81,31,18,61,0.633,17,72,47,21,22,60,2,96,42,1.37,17,100,16,89,40,0,24.567
832,531,1037,535,265,471,329,50,99,100,99,27,74,72,100,78,0.512,5,50,100,2,27,50,50,100,48,1.246,72,50,0,27,27,50,76,50,44,1.567,0,29,73,7,50,29,27,50,33,2.019,24,74,50,74,26,2,29,50,41,1.43,16,100,16,63,50,0,37.482
801,674,925,482,318,355,445,4,0,6,66,100,6,97,66,43,0.729,0,38,30,11,0,26,15,100,28,1.155,37,35,0,4,0,60,56,27,27,1.188,80,92,0,9,75,19,19,24,40,1.516,22,98,50,97,24,34,28,92,56,0.8,17,100,25,30,25,0,35.957
824,737,839,439,361,589,211,34,5,6,94,17,17,95,30,37,0.878,0,38,30,40,5,96,0,50,32,1.018,30,43,5,9,29,39,68,12,29,1.118,44,100,0,0,94,12,80,31,45,1.216,0,68,41,7,5,90,0,0,26,2.79,17,4,26,0,78,1,38.437
829,919,652,329,471,272,528,89,16,69,60,62,25,39,72,54,1.41,50,29,62,100,61,65,39,63,59,0.786,50,79,66,50,66,16,73,22,53,0.902,71,24,62,50,58,91,89,26,59,0.699,50,100,79,100,60,3,37,89,65,0.52,18,74,27,82,50,1,49.319
999,530,871,436,364,430,370,83,12,77,28,82,100,34,72,61,0.608,14,36,100,50,50,85,0,82,52,0.872,8,90,12,45,7,19,11,26,27,1.885,50,81,24,12,89,16,65,27,46,1.198,22,72,34,72,11,68,70,21,46,1.16,17,16,19,88,20,1,25.807
762,503,1135,467,333,417,383,94,0,100,69,100,90,24,83,70,0.443,7,73,17,12,43,13,35,25,28,1.49,11,58,15,0,0,81,84,14,33,1.515,11,100,11,73,26,7,18,87,42,1.402,76,87,62,75,45,0,38,0,48,1.09,17,9,15,26,84,1,19.401
971,618,811,534,266,495,305,50,33,76,87,33,19,41,50,49,0.762,12,50,32,86,38,83,50,27,47,0.835,12,71,12,0,62,26,0,24,26,1.571,24,73,23,56,19,22,27,22,33,2.008,16,72,46,69,27,30,0,45,38,1.62,17,0,64,0,66,1,37.482
774,677,949,536,264,456,344,34,22,74,25,81,25,87,100,56,0.713,6,81,89,25,26,30,16,26,37,1.226,24,87,14,26,26,28,74,46,41,1.143,2,26,24,1,26,75,84,26,33,2.03,86,26,38,24,15,70,2,83,43,1.33,18,0,24,0,25,1,-3.475
888,804,708,527,273,250,550,87,0,100,64,11,8,26,91,48,1.136,13,11,86,86,50,85,79,69,60,0.797,5,87,85,20,24,20,100,50,49,1.104,15,86,12,11,14,73,50,12,34,1.93,87,80,19,76,90,98,0,100,69,0.45,17,100,13,50,27,0,14.621
860,628,912,318,482,487,313,50,53,90,66,40,28,98,74,62,0.689,97,24,2,52,50,75,24,63,48,1.06,28,84,21,3,50,36,90,15,41,1.369,100,74,75,73,35,85,16,24,60,0.66,15,27,50,67,50,50,4,50,39,1.56,16,82,32,15,45,0,45
964,640,796,275,525,253,547,50,27,100,50,72,70,60,50,60,0.804,86,50,82,80,50,78,19,38,60,0.826,35,63,8,70,35,35,23,50,40,1.506,87,68,82,66,77,33,83,29,66,0.524,83,86,50,76,20,81,88,63,68,0.46,17,100,14,100,50,0,37.482
1041,764,595,609,291,289,411,47,17,13,62,100,25,0,59,40,1.284,0,91,100,92,0,100,58,87,66,0.572,0,57,100,0,0,50,0,80,36,1.363,12,50,80,25,0,0,74,0,30,2.093,100,50,28,0,96,83,14,90,58,0.7,17,75,0,21,0,1,32.905
893,793,714,345,455,586,214,29,0,39,88,39,0,96,32,40,1.111,90,0,80,100,13,94,23,9,51,0.8,0,97,9,14,0,87,9,100,40,1.126,96,33,44,90,80,16,89,7,57,0.758,8,41,29,100,19,0,0,17,27,2.74,17,29,20,0,27,1,22.184
748,688,964,505,295,405,395,44,74,100,74,74,81,39,31,65,0.714,20,70,74,0,58,42,14,75,44,1.289,76,80,82,25,20,82,23,17,51,1.087,74,89,26,36,15,20,20,15,37,1.712,63,26,42,27,35,21,88,93,49,1.03,17,100,26,88,80,0,37.482
1000,748,652,420,380,440,360,50,24,50,50,50,46,50,32,44,1.147,50,50,100,100,50,50,50,50,63,0.652,0,100,39,50,0,50,50,11,38,1.337,50,50,50,50,50,30,50,50,48,1.105,38,51,50,50,50,50,50,21,45,1.22,17,74,11,74,25,0,23.839
910,659,831,498,302,523,277,50,29,75,71,71,34,58,80,59,0.793,50,29,73,29,50,66,41,99,55,0.913,50,50,1,50,50,50,26,50,41,1.381,75,25,2,3,67,30,50,50,38,1.649,28,27,50,50,50,0,22,50,35,1.89,18,50,21,0,50,1,36.254
1073,720,607,365,435,482,318,33,0,100,25,67,15,74,56,46,1.186,75,42,100,84,50,100,25,87,70,0.566,77,75,0,0,0,88,0,50,36,1.49,23,100,70,12,88,38,100,4,54,0.839,0,100,50,0,36,32,0,100,40,1.52,17,100,32,74,57,0,38.437
1001,552,847,362,438,412,388,13,100,100,24,100,90,50,94,71,0.652,100,100,74,0,10,100,76,64,66,0.846,50,100,18,0,35,89,25,6,40,1.813,100,25,38,100,50,100,25,0,55,0.826,0,88,26,100,11,88,0,75,49,1.06,17,100,19,59,50,0,37.482
741,587,972,828,72,470,330,0,75,88,74,50,50,70,54,58,0.604,0,0,72,13,50,73,18,63,36,1.312,41,100,53,27,15,31,50,31,44,1.262,18,0,0,50,0,0,4,0,9,11.5,89,78,34,69,0,44,16,0,41,1.42,18,0,50,27,80,1,25.828
782,869,649,452,348,710,190,25,24,94,27,74,25,25,72,46,1.339,69,74,25,76,25,3,74,74,53,0.83,77,98,24,77,5,27,77,50,54,0.9,98,26,2,0,74,50,74,24,44,1.299,0,28,3,98,2,27,3,26,23,3.74,17,100,77,74,73,0,34.875
1085,518,797,692,108,269,531,66,31,100,50,95,64,50,22,60,0.65,9,55,62,50,96,96,88,25,60,0.735,14,44,17,19,5,75,3,19,25,2.095,10,47,0,5,18,5,13,10,14,6.407,0,97,38,89,66,50,100,91,66,0.51,17,90,41,81,67,0,37.482
755,706,939,569,231,419,381,40,66,82,86,61,35,12,79,58,0.752,0,13,61,0,64,74,24,86,40,1.244,39,100,74,40,0,74,13,27,46,1.069,12,90,64,26,0,0,13,26,29,2.463,60,60,50,76,39,13,12,71,48,1.1,16,0,50,75,87,1,34.875
637,621,1042,723,177,511,289,39,77,81,47,97,16,17,100,59,0.596,16,25,25,90,22,23,22,9,29,1.636,7,94,0,0,3,33,97,61,37,1.026,80,4,48,6,2,23,0,14,22,4.085,100,40,55,18,45,11,12,8,36,1.77,18,4,50,4,31,1,23.59
823,705,872,645,155,426,374,66,36,100,34,74,26,0,74,51,0.808,0,74,0,86,100,37,0,41,42,1.06,0,75,14,36,13,75,63,39,39,1.167,36,26,14,26,26,0,27,0,19,4.161,88,26,26,0,74,34,26,100,47,1.14,18,50,26,0,74,1,34.875
909,709,782,441,359,625,175,32,73,96,35,7,29,18,65,44,0.907,15,72,15,64,26,82,13,86,47,0.86,27,74,15,17,10,9,77,35,33,1.282,5,77,96,0,78,8,79,16,45,1.228,13,28,13,4,7,13,0,97,22,3.57,18,85,20,74,73,0,37.482
924,586,890,495,305,507,293,63,79,12,88,35,25,31,98,54,0.658,2,25,37,61,37,50,50,79,43,0.963,8,50,18,36,27,13,27,38,27,1.577,89,92,16,30,27,25,10,16,38,1.623,75,74,50,90,4,0,0,0,37,1.73,16,4,87,5,89,1,7.815
824,620,956,478,322,412,388,48,74,58,53,64,50,63,47,57,0.649,36,47,62,26,25,38,26,47,38,1.16,74,75,11,13,0,67,38,52,41,1.329,24,73,0,26,74,0,62,63,40,1.484,37,74,53,24,55,52,45,48,49,1.06,18,87,25,63,38,0,45
1089,494,817,419,381,390,410,40,79,88,70,91,31,46,71,65,0.605,81,62,84,70,25,83,14,80,62,0.75,39,74,13,0,20,18,10,36,26,2.204,32,85,89,34,14,74,34,19,48,1.1,42,33,50,71,22,77,41,74,51,0.95,17,100,14,35,58,0,37.482
841,601,958,481,319,404,396,85,100,0,10,50,59,34,100,55,0.627,0,82,83,0,0,100,0,15,35,1.139,50,100,0,50,0,39,0,0,30,1.399,16,100,25,26,42,35,75,0,40,1.508,50,100,18,50,12,75,50,41,50,1.02,17,100,0,100,50,0,37.014
723,999,678,480,320,353,447,29,0,50,50,0,24,72,33,32,1.473,0,33,85,12,50,73,77,50,48,0.938,42,69,88,74,0,84,50,50,57,0.724,36,85,0,37,74,74,0,14,40,1.5,0,74,50,84,99,50,0,90,56,0.79,16,83,19,27,50,0,35.206
821,616,963,583,217,498,302,58,67,94,84,86,46,61,63,70,0.64,9,40,59,27,37,100,43,81,50,1.173,69,76,38,0,32,65,29,66,47,1.333,34,5,59,35,43,13,17,11,27,2.687,26,75,37,24,32,29,61,18,38,1.65,17,91,5,61,28,0,34.875
535,860,1005,549,251,787,13,21,21,100,51,28,50,96,73,55,0.856,2,25,32,1,50,100,0,25,29,1.879,75,100,0,100,75,50,50,50,63,0.622,3,0,0,25,0,100,50,73,31,2.187,0,0,7,0,0,0,3,3,2,60.54,16,73,51,27,74,0,34.875
932,765,703,483,317,657,143,46,35,37,50,47,50,36,50,44,1.088,50,50,84,60,16,66,34,88,56,0.754,50,78,60,29,23,25,6,45,40,1.218,50,58,54,0,64,24,58,9,40,1.524,19,9,25,0,4,46,3,37,18,4.59,16,50,24,37,47,0,37.482
860,640,900,274,526,357,443,47,58,82,22,67,82,8,64,54,0.711,2,62,88,7,0,96,34,41,41,1.047,17,63,3,10,0,58,72,47,34,1.344,86,78,100,37,93,11,90,31,66,0.521,88,90,55,26,64,37,56,27,55,0.81,17,81,58,100,50,0,37.394
830,648,922,390,410,270,530,50,74,79,26,66,34,26,88,55,0.703,100,16,12,5,50,86,26,26,40,1.111,45,74,0,12,20,74,16,50,36,1.281,27,34,100,50,12,82,96,9,51,0.951,86,75,38,100,100,74,43,14,66,0.51,18,24,26,86,75,1,37.482
1114,458,828,432,368,309,491,36,72,100,41,82,86,85,50,69,0.553,69,44,100,33,43,100,66,69,66,0.743,26,100,0,0,17,42,25,0,26,2.432,70,43,96,19,40,0,100,0,46,1.174,53,71,22,77,38,30,100,100,61,0.63,18,16,0,100,0,1,40.073
870,627,903,517,283,306,494,9,0,100,74,100,99,0,75,57,0.694,10,25,89,0,37,95,5,93,44,1.038,67,75,4,37,0,0,86,15,36,1.388,2,100,12,5,74,90,0,0,35,1.827,100,74,67,75,9,94,0,75,62,0.62,16,100,50,26,50,0,33.822
726,803,871,453,347,482,318,50,24,24,98,2,50,75,97,53,0.922,27,74,50,76,23,73,2,24,44,1.2,75,97,99,1,1,50,2,98,53,0.904,99,50,3,0,95,95,4,1,43,1.305,1,98,96,98,0,0,2,23,40,1.52,17,99,73,26,50,0,45.179
870,795,735,445,355,588,212,30,5,0,20,0,6,78,100,30,1.082,0,86,23,0,0,100,0,95,38,0.845,73,19,0,0,5,16,100,21,29,1.094,10,93,80,76,96,0,0,0,44,1.254,100,0,8,5,96,0,0,3,27,2.77,18,0,74,50,50,1,38.172
835,739,826,690,110,609,191,0,13,100,50,0,75,74,74,48,0.895,50,74,100,0,10,100,0,26,45,0.989,50,78,0,0,0,74,73,50,41,1.13,0,24,24,23,7,0,6,26,14,6.273,13,76,50,26,0,14,0,12,24,3.19,17,74,25,14,50,0,38.437
875,895,630,480,320,344,456,30,74,100,50,50,24,15,42,48,1.421,82,100,82,100,50,91,0,32,67,0.72,13,40,82,0,13,100,50,100,50,0.978,74,61,9,0,22,100,20,34,40,1.5,0,74,0,100,0,100,100,82,57,0.75,18,87,60,25,50,0,32.158
962,820,618,373,427,632,168,38,88,0,100,26,0,11,100,45,1.327,50,16,64,100,100,91,35,89,68,0.642,74,16,100,28,0,26,73,66,48,1.173,89,100,0,26,64,81,67,0,53,0.874,50,38,24,24,0,32,0,0,21,3.76,17,7,92,64,100,1,23.839
1040,806,554,617,183,509,291,38,3,14,65,3,86,1,25,29,1.455,50,66,100,5,2,97,73,88,60,0.533,26,86,0,14,3,12,3,97,30,1.29,50,26,63,2,14,11,15,2,23,3.372,2,97,38,2,2,73,3,74,36,1.75,17,100,4,50,26,0,28.726
952,825,623,427,373,598,202,50,0,74,50,0,24,26,100,41,1.324,25,100,50,100,50,50,50,76,63,0.654,100,25,24,50,50,0,50,50,44,1.154,100,23,0,0,50,50,100,50,47,1.145,50,0,0,0,1,100,1,50,25,2.96,16,50,50,0,51,1,26.672
870,697,833,262,538,319,481,74,5,92,83,31,25,65,33,51,0.837,84,18,60,27,5,100,11,70,47,0.957,16,71,6,12,7,79,73,41,38,1.248,89,73,98,42,67,69,27,73,67,0.487,32,100,50,20,30,82,100,67,60,0.66,17,81,28,82,31,0,34.875
445,1095,860,529,271,687,113,7,66,0,32,74,21,9,88,37,1.273,29,22,28,9,8,76,3,62,30,1.933,87,83,99,64,13,82,75,89,74,0.406,12,85,34,29,2,89,8,12,34,1.952,10,34,42,0,8,7,0,12,14,6.08,17,74,26,66,96,0,34.875
988,624,788,400,400,517,283,18,71,15,17,84,88,16,87,50,0.792,84,31,85,20,26,38,42,82,51,0.798,14,100,4,26,25,14,10,27,28,1.583,91,75,74,16,85,18,17,24,50,1,12,74,34,16,26,94,10,17,35,1.83,17,34,15,26,44,0,28.46
796,701,903,382,418,453,347,0,40,100,24,75,86,75,100,63,0.776,76,79,74,0,32,27,34,75,50,1.134,76,75,74,25,26,40,35,50,50,1.136,75,13,88,50,75,92,25,0,52,0.914,8,99,50,50,15,50,0,75,43,1.31,17,100,25,25,24,0,37.482
1026,776,598,775,25,600,200,50,0,100,50,0,0,25,25,31,1.298,0,50,100,50,26,100,26,100,57,0.583,0,50,0,26,0,75,50,25,28,1.322,0,0,0,0,0,0,25,0,3,31,50,0,50,100,0,0,0,0,25,3,17,11,0,75,50,1,7.815
951,656,793,445,355,595,205,26,97,98,29,74,96,2,97,65,0.827,99,100,27,75,26,74,25,100,66,0.834,97,96,0,74,0,6,28,74,47,1.45,97,28,73,2,74,73,3,5,44,1.254,2,24,4,75,2,98,0,0,26,2.9,18,0,25,27,26,1,41.504
1215,495,690,713,87,427,373,0,77,100,0,100,100,0,100,60,0.717,72,14,100,100,73,100,28,100,73,0.568,0,100,0,0,0,72,0,0,22,2.455,0,30,29,0,0,0,28,0,11,8.195,0,100,0,0,0,100,73,100,47,1.14,17,14,0,100,0,1,34.875
958,369,1073,406,394,432,368,84,26,100,74,79,87,80,77,76,0.344,10,86,13,50,7,82,29,57,42,1.12,24,75,15,5,32,14,0,11,22,2.596,87,58,58,15,50,20,98,8,49,1.03,20,91,50,22,44,69,22,50,46,1.17,17,54,0,100,12,0,33.622
876,379,1145,400,400,400,400,100,98,0,100,0,100,100,100,75,0.331,100,0,25,0,100,26,100,0,44,1.307,0,100,75,0,0,98,0,0,34,2.311,100,0,0,0,100,100,100,0,50,1,100,0,0,100,100,0,0,100,50,1,18,0,100,0,100,1,45
680,550,1170,398,402,412,388,50,74,100,74,92,50,72,62,72,0.47,15,26,38,0,26,86,0,13,26,1.721,26,88,3,14,16,91,75,11,41,1.236,100,86,8,75,26,17,64,26,50,0.99,100,3,50,47,37,50,7,94,49,1.06,17,15,8,50,25,0,37.482
683,707,1010,309,391,444,456,72,24,94,50,77,96,27,50,61,0.7,28,50,50,25,25,25,0,77,35,1.479,74,72,50,50,2,50,24,75,50,0.966,93,52,28,25,69,50,76,50,55,0.79,74,26,50,4,50,74,76,50,51,0.97,17,78,48,94,50,0,51.17
1042,585,773,524,276,487,313,12,84,100,84,38,48,58,48,59,0.757,10,93,86,54,6,91,62,97,62,0.742,91,92,0,4,5,14,6,45,32,1.781,58,9,77,24,10,22,75,1,35,1.899,58,79,50,24,2,2,2,96,39,1.56,17,89,16,11,26,0,23.986
851,634,815,562,238,369,431,50,25,88,0,31,50,50,100,49,0.778,12,28,74,32,50,63,50,70,47,0.958,25,36,72,26,12,50,50,57,41,1.342,25,50,26,25,29,38,28,17,30,2.361,82,50,47,50,39,50,28,85,54,0.86,17,2,17,74,50,1,32.563
909,536,955,462,338,400,400,50,77,99,50,76,82,35,77,68,0.561,4,27,99,32,26,98,28,77,49,1.051,50,50,7,24,25,26,50,50,35,1.696,30,50,76,50,52,3,3,74,42,1.367,77,50,74,50,24,50,50,25,50,1,17,50,50,50,50,0,31.164
759,780,861,379,421,307,493,50,50,100,15,100,30,32,50,53,0.906,71,35,39,0,50,73,0,98,46,1.134,28,100,73,50,50,6,50,50,51,0.973,100,100,0,50,31,40,50,50,53,0.9,0,70,100,73,50,100,50,50,62,0.62,17,100,51,25,50,0,34.359
913,667,820,383,417,381,419,50,28,83,43,49,51,50,73,53,0.813,47,42,42,75,21,87,45,48,51,0.898,37,67,39,10,18,35,50,38,37,1.369,44,66,42,50,45,70,65,35,52,0.918,54,58,50,59,50,46,21,81,52,0.91,17,85,36,89,82,0,21.038
620,733,1047,570,230,488,312,12,90,100,50,32,28,41,100,57,0.7,19,40,43,0,0,37,6,61,26,1.689,96,55,17,7,1,80,90,40,48,0.846,4,81,0,32,55,14,17,27,29,2.478,4,100,20,77,15,91,0,5,39,1.56,18,100,75,25,100,0,41.055
881,652,867,479,321,438,362,50,63,70,64,50,50,50,86,60,0.752,28,67,77,34,60,50,50,50,52,0.984,20,35,38,36,28,65,63,50,42,1.351,31,28,70,26,50,30,36,50,40,1.492,50,62,50,40,67,28,15,50,45,1.21,17,0,74,0,100,1,45
860,948,692,395,305,401,399,26,37,0,65,21,73,24,64,39,1.37,73,72,50,73,50,38,40,41,55,0.805,0,75,76,50,50,73,76,50,56,0.907,65,60,30,29,73,50,36,27,46,1.295,25,34,50,23,60,69,68,70,50,1.01,16,50,50,50,26,0,37.482
1078,616,706,486,314,471,329,24,34,100,72,88,73,50,50,61,0.873,85,85,100,26,89,83,25,92,73,0.655,11,87,24,14,11,50,60,50,38,1.75,1,0,7,97,24,87,9,89,39,1.548,0,100,26,26,26,91,50,10,41,1.43,17,100,13,89,16,0,37.915
903,517,980,367,433,486,314,73,100,50,25,24,77,76,100,66,0.528,76,40,24,0,23,76,34,76,44,1.085,72,50,0,0,0,50,24,50,31,1.747,73,76,76,21,0,14,100,0,45,0.848,36,26,50,0,24,78,50,50,39,1.55,17,0,50,89,50,1,34.875
889,721,790,469,331,556,244,26,50,26,26,75,61,26,86,47,0.913,16,50,100,50,11,73,0,86,48,0.889,50,89,25,10,20,14,64,25,37,1.233,0,84,100,0,50,8,89,0,41,1.417,14,35,38,24,25,50,32,26,31,2.28,17,0,50,59,74,1,34.875
848,822,730,525,275,541,259,1,5,0,96,92,4,97,31,41,1.126,23,50,95,2,8,98,22,98,50,0.861,93,100,3,5,2,97,41,7,44,1.032,50,50,99,0,26,0,50,0,34,1.909,13,96,38,50,6,10,13,33,32,2.09,17,100,15,73,50,0,37.482
1014,897,589,270,430,488,312,36,1,25,2,7,42,16,50,22,1.523,100,76,37,100,0,26,75,50,58,0.581,0,2,2,100,25,65,38,44,35,1.13,100,45,26,18,27,100,50,90,57,0.628,74,50,50,50,56,7,17,8,39,1.56,18,0,17,100,50,1,7.815
857,764,779,468,332,521,279,35,38,74,33,37,75,62,75,54,0.981,72,34,73,26,38,74,71,62,56,0.909,75,37,24,33,27,73,74,50,49,1.122,65,28,74,50,31,25,24,35,42,1.41,36,13,74,25,34,35,36,26,35,1.87,17,25,74,14,74,1,34.875
831,939,630,492,208,563,337,14,36,14,73,76,6,10,67,37,1.49,17,58,74,99,14,82,47,75,58,0.758,76,74,45,72,26,0,94,48,54,0.885,63,54,11,0,17,56,53,8,33,2.365,6,74,3,92,8,54,16,30,35,1.67,17,0,22,0,67,1,21.93
694,773,833,550,250,406,394,22,38,62,55,66,40,38,71,49,0.928,17,61,61,36,40,59,1,84,45,1.2,63,80,40,42,31,22,87,0,46,0.898,29,23,33,32,24,31,41,37,31,2.2,50,62,90,36,33,21,14,88,49,1.03,16,90,16,25,25,0,45
1080,538,782,527,273,416,384,76,34,37,47,36,100,34,82,56,0.688,50,22,86,0,75,100,44,87,58,0.724,13,100,26,0,0,24,0,21,23,2.007,23,13,75,0,73,0,80,9,34,1.93,14,100,0,12,81,77,0,100,48,1.08,16,0,14,62,53,1,34.391
857,838,705,254,546,429,371,14,5,51,52,23,49,56,86,42,1.189,98,67,30,30,66,62,26,52,54,0.823,46,51,23,36,33,73,66,46,47,1.023,99,74,30,93,80,85,65,20,68,0.465,41,70,50,0,24,93,85,8,46,1.16,18,100,24,91,20,0,35.336
899,749,752,605,195,502,298,37,26,100,50,50,50,17,74,51,0.996,13,75,86,92,25,75,25,61,57,0.836,75,80,26,9,50,0,63,50,44,1.2,25,50,10,10,14,11,50,25,24,3.103,63,64,50,18,7,14,0,82,37,1.68,18,0,26,75,37,1,19.885
914,861,625,332,468,328,472,26,25,94,16,64,44,36,51,45,1.378,68,82,92,12,26,88,90,73,66,0.684,17,89,87,16,8,92,66,42,52,1.062,44,29,75,74,79,38,68,61,59,0.709,74,80,33,21,59,43,85,77,59,0.69,17,93,4,63,20,0,37.482
994,362,1144,356,444,274,526,62,100,74,60,74,100,44,100,77,0.316,45,26,0,73,26,100,0,0,34,1.151,0,100,0,0,0,76,0,0,22,2.746,55,73,26,100,28,25,37,100,56,0.802,65,26,100,64,43,74,54,100,66,0.52,17,61,30,82,36,1,37.482
703,832,865,439,361,490,310,34,74,2,39,50,28,66,77,46,0.962,25,25,68,26,1,72,26,62,38,1.23,29,60,76,13,36,75,63,50,50,0.845,38,28,25,74,60,73,26,37,45,1.216,35,65,27,63,51,31,1,37,39,1.58,17,74,13,17,16,0,35.012
661,635,1104,457,343,559,241,62,78,100,50,84,87,5,59,66,0.575,24,42,14,9,21,1,84,26,28,1.67,84,98,1,17,88,26,0,46,45,1.041,100,90,2,15,12,89,10,25,43,1.332,98,31,0,8,12,65,1,26,30,2.32,17,25,26,2,26,0,37.482
721,681,998,463,337,572,228,50,28,93,50,69,50,70,98,64,0.682,35,29,82,28,50,26,28,32,39,1.384,20,86,70,40,60,0,86,27,49,1.059,73,50,16,61,62,12,63,0,42,1.374,5,27,0,41,36,31,38,50,29,2.51,17,50,15,73,4,1,7.815
779,617,1004,271,529,487,313,30,80,86,63,29,28,73,100,61,0.615,77,17,32,6,24,76,23,30,36,1.289,16,69,10,77,0,84,24,26,38,1.263,100,100,100,78,85,38,21,7,66,0.512,26,93,74,74,17,24,0,5,39,1.56,16,100,9,38,19,0,34.875
976,737,687,621,179,438,362,57,4,62,24,20,0,26,100,37,1.073,25,20,75,100,88,69,12,17,51,0.704,50,50,4,25,12,0,76,13,29,1.324,12,7,0,35,25,0,100,0,22,3.469,0,66,75,18,27,100,0,76,45,1.21,16,0,0,0,95,1,34.16
875,649,876,669,231,596,204,27,73,73,50,50,27,28,100,54,0.741,0,26,26,72,27,74,27,100,44,1.001,50,73,0,27,0,50,50,27,35,1.348,26,27,50,0,26,26,50,0,26,2.896,26,74,50,0,27,0,0,27,26,2.92,18,0,24,25,74,1,32.14
918,536,846,530,270,621,279,50,25,100,35,50,74,13,73,53,0.634,0,25,50,74,26,75,0,99,44,0.922,1,74,25,18,26,50,1,61,32,1.713,99,19,0,4,0,25,100,23,34,1.963,3,97,50,1,1,74,0,3,29,2.23,16,75,50,25,24,0,37.482
987,570,843,453,347,625,175,43,100,50,50,73,26,25,100,58,0.676,75,100,74,25,0,62,25,63,53,0.854,74,50,0,0,12,25,26,50,30,1.732,100,22,0,26,100,26,73,0,43,1.305,25,0,50,0,0,50,0,50,22,3.57,17,0,50,0,75,1,37.482
817,578,1005,446,354,262,538,0,100,87,88,73,62,0,74,61,0.575,16,75,74,0,0,87,1,26,35,1.23,43,87,0,12,0,38,42,40,33,1.413,100,36,26,42,96,14,26,14,44,1.26,26,88,26,100,60,74,64,100,67,0.49,17,100,50,86,100,0,34.875
1002,664,734,293,507,733,67,85,25,0,87,84,38,30,25,47,0.905,100,44,21,58,12,100,17,88,55,0.733,36,91,22,7,13,59,8,2,30,1.509,62,79,74,25,81,86,100,0,63,0.578,14,0,0,4,15,24,8,2,8,10.94,16,17,18,66,50,1,32.158
911,727,762,480,320,551,249,45,42,20,43,58,36,55,71,46,0.954,35,40,67,78,32,76,25,55,51,0.836,18,73,26,42,32,42,20,44,37,1.253,41,60,50,0,53,0,74,42,40,1.5,55,75,42,21,12,25,0,19,31,2.21,16,0,39,16,50,1,31.498
815,757,828,483,317,511,289,76,20,33,74,32,17,73,63,49,0.914,19,0,80,66,16,41,46,92,45,1.016,25,22,19,18,32,94,67,68,43,1.077,74,78,19,27,34,12,32,41,40,1.524,27,72,74,22,28,50,0,16,36,1.77,17,86,13,7,35,0,34.875
950,486,964,390,410,405,395,50,50,100,74,92,85,77,100,79,0.504,85,74,74,74,24,26,27,80,58,1.015,70,75,28,14,0,86,15,26,39,1.955,26,23,72,25,76,74,100,14,51,0.951,27,37,26,25,50,75,78,77,49,1.03,17,83,36,85,50,0,34.875
860,650,890,477,323,242,558,30,60,97,86,69,43,80,34,62,0.73,60,29,82,79,57,41,20,41,51,1.035,19,44,91,20,14,80,22,59,44,1.323,17,81,17,38,78,38,13,41,40,1.477,33,96,50,63,81,82,65,88,70,0.43,17,85,4,45,25,0,34.875
