openness,conscientiousness,agreeableness,extraversion,neuroticism,descriptive,normative,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca_average,c/a,ao1,ao2,ao3,ao4,ao5,ao6,ao7,ao8,ao_average,a/o,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc_average,o/c,en1,en2,en3,en4,en5,en6,en7,en8,en_average,e/n,dn1,dn2,dn3,dn4,dn5,dn6,dn7,dn8,dn_average,d/n,age,extentfeminine,extentconservative,extenthumanities,extentcapitalism,gender,svo
936,597,867,495,305,541,259,29,92,92,79,99,4,0,100,62,0.689,14,100,86,8,94,14,12,100,54,0.926,2,100,0,1,0,26,90,73,37,1.568,84,7,3,9,100,3,99,0,38,1.623,0,0,59,0,5,95,0,100,32,2.09,18,74,15,74,74,0,26.675
742,643,715,674,426,593,207,0,100,100,50,79,74,9,72,61,0.899,23,26,100,100,0,84,36,100,59,0.964,72,100,80,75,0,50,0,50,53,1.154,0,0,0,0,100,0,100,26,28,1.582,75,0,0,24,26,0,0,82,26,2.86,16,100,22,28,28,0,22.659
698,910,792,610,190,484,316,22,74,73,26,73,16,23,0,38,1.149,26,25,73,75,18,25,0,73,39,1.135,50,22,50,50,24,98,73,50,52,0.767,21,2,100,17,0,25,25,0,24,3.211,100,69,0,2,21,0,50,74,40,1.53,17,26,74,74,73,1,-7.815
829,745,826,446,354,313,487,50,0,13,62,75,76,13,100,49,0.902,9,50,46,50,0,88,33,87,45,0.996,24,100,75,24,20,24,17,50,42,1.113,22,75,63,38,14,24,82,36,44,1.26,40,52,19,88,12,100,100,76,61,0.64,16,24,24,100,0,1,25.369
1044,728,628,533,367,508,292,36,68,10,38,45,13,58,63,41,1.159,69,88,68,75,45,64,29,65,63,0.602,26,86,7,34,14,38,14,40,32,1.434,25,30,59,31,25,33,89,44,42,1.452,11,74,38,36,70,26,11,26,37,1.74,18,0,14,50,63,1,7.815
855,717,828,645,155,527,273,40,10,100,56,13,50,100,50,52,0.866,9,43,50,84,36,63,56,50,49,0.968,78,40,0,54,0,14,100,50,42,1.192,7,36,0,34,34,0,18,26,19,4.161,0,100,0,83,0,12,0,78,34,1.93,17,21,0,75,50,1,34.875
767,715,918,361,439,477,323,85,13,96,71,68,73,18,1,53,0.779,94,15,88,27,1,31,17,34,38,1.197,87,20,26,40,17,14,73,63,43,1.073,91,16,86,36,32,93,15,70,55,0.822,9,14,93,24,75,86,7,15,40,1.48,17,93,20,14,15,0,25.652
1050,587,763,416,384,479,321,50,50,100,0,99,50,50,50,56,0.769,50,75,99,62,0,76,50,74,61,0.727,0,99,26,2,33,50,26,0,30,1.789,23,99,75,50,25,24,50,38,48,1.083,50,22,50,0,50,50,25,74,40,1.49,17,50,0,25,50,0,37.482
968,483,949,527,273,488,312,50,50,100,62,76,83,75,74,71,0.509,0,0,95,50,100,76,0,100,53,0.98,22,74,0,0,26,77,4,50,32,2.004,25,0,60,3,85,0,100,0,34,1.93,100,74,11,50,50,0,2,25,39,1.56,18,100,25,26,75,0,28.554
939,764,697,554,246,566,234,64,18,25,35,32,74,72,11,41,1.096,77,28,78,27,10,77,43,94,54,0.742,4,62,96,14,25,76,10,8,37,1.229,78,14,19,3,75,17,25,15,31,2.252,25,73,29,16,36,4,9,42,29,2.42,17,1,9,36,13,1,45
